Combination,Delta E,EA(A),EN(A),H(A),IP(A),L(A),rd(A),rp(A),rs(A),EA(B),EN(B),H(B),IP(B),L(B),rd(B),rp(B),rs(B)
Mg+Se,-0.055127,0.693,3.672,-4.782,-8.037,-1.358,3.171,1.897,1.33,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Mg+Te,-0.0049405,0.693,3.672,-4.782,-8.037,-1.358,3.171,1.897,1.33,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
Al+N,0.0729255,-0.313,3.0465,-2.784,-5.78,0.695,1.939,1.393,1.092,-1.867,7.726,-7.239,-13.585,3.057,1.54,0.511,0.539
Al+P,0.2188715,-0.313,3.0465,-2.784,-5.78,0.695,1.939,1.393,1.092,-1.92,5.8355,-5.596,-9.751,0.183,1.771,0.966,0.826
Al+As,0.212353,-0.313,3.0465,-2.784,-5.78,0.695,1.939,1.393,1.092,-1.839,5.5505,-5.341,-9.262,0.064,2.023,1.043,0.847
Al+Sb,0.1503865,-0.313,3.0465,-2.784,-5.78,0.695,1.939,1.393,1.092,-1.847,5.1575,-4.991,-8.468,0.105,2.065,1.232,1.001
Si+C,0.6686675,-0.993,4.3755,-4.163,-7.758,0.44,1.89,1.134,0.938,-0.872,5.862,-5.416,-10.852,1.992,1.631,0.63,0.644
Si+Si,0.275475,-0.993,4.3755,-4.163,-7.758,0.44,1.89,1.134,0.938,-0.993,4.3755,-4.163,-7.758,0.44,1.89,1.134,0.938
K+F,-0.146464,-0.621,2.527,-2.426,-4.433,-0.697,1.785,2.443,2.128,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
K+Cl,-0.164521,-0.621,2.527,-2.426,-4.433,-0.697,1.785,2.443,2.128,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
K+Br,-0.1664765,-0.621,2.527,-2.426,-4.433,-0.697,1.785,2.443,2.128,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
K+I,-0.168284,-0.621,2.527,-2.426,-4.433,-0.697,1.785,2.443,2.128,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Ca+O,-0.2660115,0.304,3.062,-3.864,-6.428,-2.133,0.679,2.324,1.757,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Ca+S,-0.3692695,0.304,3.062,-3.864,-6.428,-2.133,0.679,2.324,1.757,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
Ca+Se,-0.3613305,0.304,3.062,-3.864,-6.428,-2.133,0.679,2.324,1.757,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Ca+Te,-0.350466,0.304,3.062,-3.864,-6.428,-2.133,0.679,2.324,1.757,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
Cu+F,-0.0187695,-1.638,5.0135,-4.856,-8.389,-0.641,2.576,1.68,1.197,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
Cu+Cl,0.156381,-1.638,5.0135,-4.856,-8.389,-0.641,2.576,1.68,1.197,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
Cu+Br,0.1520705,-1.638,5.0135,-4.856,-8.389,-0.641,2.576,1.68,1.197,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
Cu+I,0.203405,-1.638,5.0135,-4.856,-8.389,-0.641,2.576,1.68,1.197,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Zn+O,0.1018155,1.081,4.5275,-6.217,-10.136,-1.194,2.254,1.547,1.099,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Zn+S,0.275334,1.081,4.5275,-6.217,-10.136,-1.194,2.254,1.547,1.099,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
Zn+Se,0.259251,1.081,4.5275,-6.217,-10.136,-1.194,2.254,1.547,1.099,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Zn+Te,0.2411885,1.081,4.5275,-6.217,-10.136,-1.194,2.254,1.547,1.099,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
Ga+N,0.4332885,-0.108,2.963,-2.732,-5.818,0.13,2.163,1.33,0.994,-1.867,7.726,-7.239,-13.585,3.057,1.54,0.511,0.539
Ga+P,0.340923,-0.108,2.963,-2.732,-5.818,0.13,2.163,1.33,0.994,-1.92,5.8355,-5.596,-9.751,0.183,1.771,0.966,0.826
Ga+As,0.2714115,-0.108,2.963,-2.732,-5.818,0.13,2.163,1.33,0.994,-1.839,5.5505,-5.341,-9.262,0.064,2.023,1.043,0.847
Ga+Sb,0.158226,-0.108,2.963,-2.732,-5.818,0.13,2.163,1.33,0.994,-1.847,5.1575,-4.991,-8.468,0.105,2.065,1.232,1.001
Ge+Ge,0.202076,-0.949,4.258,-4.046,-7.567,2.175,2.373,1.162,0.917,-0.949,4.258,-4.046,-7.567,2.175,2.373,1.162,0.917
Rb+F,-0.136152,-0.59,2.4395,-2.36,-4.289,-0.705,1.96,3.199,2.24,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
Rb+Cl,-0.160783,-0.59,2.4395,-2.36,-4.289,-0.705,1.96,3.199,2.24,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
Rb+Br,-0.164282,-0.59,2.4395,-2.36,-4.289,-0.705,1.96,3.199,2.24,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
Rb+I,-0.168527,-0.59,2.4395,-2.36,-4.289,-0.705,1.96,3.199,2.24,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Sr+O,-0.220613,0.343,2.8445,-3.641,-6.032,-1.379,1.204,2.548,1.911,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Sr+S,-0.368853,0.343,2.8445,-3.641,-6.032,-1.379,1.204,2.548,1.911,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
Sr+Se,-0.3751365,0.343,2.8445,-3.641,-6.032,-1.379,1.204,2.548,1.911,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Sr+Te,-0.380649,0.343,2.8445,-3.641,-6.032,-1.379,1.204,2.548,1.911,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
Ag+F,-0.1557595,-1.667,4.8625,-4.71,-8.058,-0.479,2.968,1.883,1.316,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
Ag+Cl,-0.043813,-1.667,4.8625,-4.71,-8.058,-0.479,2.968,1.883,1.316,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
Ag+Br,-0.0303675,-1.667,4.8625,-4.71,-8.058,-0.479,2.968,1.883,1.316,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
Ag+I,0.036523,-1.667,4.8625,-4.71,-8.058,-0.479,2.968,1.883,1.316,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Cd+O,-0.0871575,0.839,4.371,-5.952,-9.581,-1.309,2.604,1.736,1.232,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Cd+S,0.0709195,0.839,4.371,-5.952,-9.581,-1.309,2.604,1.736,1.232,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
Cd+Se,0.0831555,0.839,4.371,-5.952,-9.581,-1.309,2.604,1.736,1.232,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Cd+Te,0.1127115,0.839,4.371,-5.952,-9.581,-1.309,2.604,1.736,1.232,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
In+N,0.150714,-0.256,2.8965,-2.697,-5.537,0.368,3.108,1.498,1.134,-1.867,7.726,-7.239,-13.585,3.057,1.54,0.511,0.539
In+P,0.170062,-0.256,2.8965,-2.697,-5.537,0.368,3.108,1.498,1.134,-1.92,5.8355,-5.596,-9.751,0.183,1.771,0.966,0.826
In+As,0.122301,-0.256,2.8965,-2.697,-5.537,0.368,3.108,1.498,1.134,-1.839,5.5505,-5.341,-9.262,0.064,2.023,1.043,0.847
In+Sb,0.0795525,-0.256,2.8965,-2.697,-5.537,0.368,3.108,1.498,1.134,-1.847,5.1575,-4.991,-8.468,0.105,2.065,1.232,1.001
Sn+Sn,0.0163115,-1.039,4.041,-3.866,-7.043,0.008,2.03,1.344,1.057,-1.039,4.041,-3.866,-7.043,0.008,2.03,1.344,1.057
B+Sb,0.5808505,-0.107,4.1485,-3.715,-8.19,2.248,1.946,0.826,0.805,-1.847,5.1575,-4.991,-8.468,0.105,2.065,1.232,1.001
Cs+F,-0.11158,-0.57,2.288,-2.22,-4.006,-0.548,1.974,3.164,2.464,-4.273,11.8385,-11.294,-19.404,1.251,1.428,0.371,0.406
Cs+Cl,-0.1524795,-0.57,2.288,-2.22,-4.006,-0.548,1.974,3.164,2.464,-3.971,8.9365,-8.7,-13.902,0.574,1.666,0.756,0.679
Cs+Br,-0.1579615,-0.57,2.288,-2.22,-4.006,-0.548,1.974,3.164,2.464,-3.739,8.1945,-8.001,-12.65,0.708,1.869,0.882,0.749
Cs+I,-0.164926,-0.57,2.288,-2.22,-4.006,-0.548,1.974,3.164,2.464,-3.513,7.385,-7.236,-11.257,0.213,1.722,1.071,0.896
Ba+O,-0.095162,0.278,2.619,-3.346,-5.516,-2.129,1.351,2.632,2.149,-3.006,9.7195,-9.197,-16.433,2.541,2.219,0.427,0.462
Ba+S,-0.3264895,0.278,2.619,-3.346,-5.516,-2.129,1.351,2.632,2.149,-2.845,7.32,-7.106,-11.795,0.642,2.366,0.847,0.742
Ba+Se,-0.3501065,0.278,2.619,-3.346,-5.516,-2.129,1.351,2.632,2.149,-2.751,6.8485,-6.654,-10.946,1.316,2.177,0.952,0.798
Ba+Te,-0.3810935,0.278,2.619,-3.346,-5.516,-2.129,1.351,2.632,2.149,-2.666,6.2665,-6.109,-9.867,0.099,1.827,1.141,0.945
Ge+C,0.807408,-0.949,4.258,-4.046,-7.567,2.175,2.373,1.162,0.917,-0.872,5.862,-5.416,-10.852,1.992,1.631,0.63,0.644
Sn+C,0.45098,-1.039,4.041,-3.866,-7.043,0.008,2.03,1.344,1.057,-0.872,5.862,-5.416,-10.852,1.992,1.631,0.63,0.644
Ge+Si,0.263938,-0.949,4.258,-4.046,-7.567,2.175,2.373,1.162,0.917,-0.993,4.3755,-4.163,-7.758,0.44,1.89,1.134,0.938
Sn+Si,0.136481,-1.039,4.041,-3.866,-7.043,0.008,2.03,1.344,1.057,-0.993,4.3755,-4.163,-7.758,0.44,1.89,1.134,0.938
Sn+Ge,0.086873,-1.039,4.041,-3.866,-7.043,0.008,2.03,1.344,1.057,-0.949,4.258,-4.046,-7.567,2.175,2.373,1.162,0.917
